"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgmagazines_ammo_new_357silvertipjhp0",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds","Патроны .357 Silvertip JHP",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",".357 Silvertip JHP Rounds",
"str_cfgmagazines_ammo_new_357silvertipjhp1",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.","Револьверный патрон .357 Silvertip JHP. Используется в пистолетах, револьверах и некоторых винтовках.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Silvertip JHP Rounds. Used in pistols, revolvers, and select rifles.",
"str_cfgmagazines_ammo_new_357imbalanced0",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds","Патроны .357 Imbalanced",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",".357 Imbalanced Rounds",
"str_cfgmagazines_ammo_new_357imbalanced1",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.","Револьверный патрон .357 Imbalanced. Используется в пистолетах, револьверах и некоторых винтовках.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",".357 Imbalanced Rounds. Used in pistols, revolvers, and select rifles.",
"str_cfgmagazines_ammo_new_380bondedjhp0",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds","Патроны .380 ACP Bonded JHP",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",".380 ACP Bonded JHP Rounds",
"str_cfgmagazines_ammo_new_380bondedjhp1",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.","Пистолетный патрон .380 ACP Bonded JHP. Используется в некоторых пистолетах и ПП.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",".380 ACP Bonded JHP Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_380jhp0",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds","Патроны .380 ACP JHP",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",".380 ACP JHP Rounds",
"str_cfgmagazines_ammo_new_380jhp1",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.","Пистолетный патрон .380 ACP JHP. Используется в некоторых пистолетах и ПП.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",".380 ACP JHP Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_380hydrashokjhp0",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds","Патроны .380 ACP HydraShok JHP",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",".380 ACP HydraShok JHP Rounds",
"str_cfgmagazines_ammo_new_380hydrashokjhp1",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.","Пистолетный патрон .380 ACP HydraShok JHP. Используется в некоторых пистолетах и ПП.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",".380 ACP HydraShok JHP Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_380silvertipjhp0",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds","Патроны .380 ACP Silvertip JHP",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",".380 ACP Silvertip JHP Rounds",
"str_cfgmagazines_ammo_new_380silvertipjhp1",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.","Пистолетный патрон .380 ACP Silvertip JHP. Используется в некоторых пистолетах и ПП.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",".380 ACP Silvertip JHP Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_380xtp0",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds","Патроны .380 ACP XTP",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",".380 ACP XTP Rounds",
"str_cfgmagazines_ammo_new_380xtp1",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.","Пистолетный патрон .380 ACP XTP. Используется в некоторых пистолетах и ПП.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",".380 ACP XTP Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_380fmj0",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds","Патроны .380 ACP FMJ",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",".380 ACP FMJ Rounds",
"str_cfgmagazines_ammo_new_380fmj1",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.","Пистолетный патрон .380 ACP FMJ. Используется в некоторых пистолетах и ПП.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",".380 ACP FMJ Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_380imbalanced0",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds","Патроны .380 ACP Imbalanced",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",".380 ACP Imbalanced Rounds",
"str_cfgmagazines_ammo_new_380imbalanced1",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.","Пистолетный патрон .380 ACP Imbalanced. Используется в некоторых пистолетах и ПП.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".380 ACP Imbalanced Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_45acpap0",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds","Патроны .45 ACP AP",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",".45 ACP AP Rounds",
"str_cfgmagazines_ammo_new_45acpap1",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.","Пистолетный патрон .45 ACP AP. Используется в некоторых пистолетах и ПП.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",".45 ACP AP Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_45acpfmj0",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds","Патроны .45 ACP FMJ",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",".45 ACP FMJ Rounds",
"str_cfgmagazines_ammo_new_45acpfmj1",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.","Пистолетный патрон .45 ACP FMJ. Используется в некоторых пистолетах и ПП.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",".45 ACP FMJ Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_45acphydrshock0",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds","Патроны .45 ACP Hydr-Shock",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",".45 ACP Hydr-Shock Rounds",
"str_cfgmagazines_ammo_new_45acphydrshock1",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.","Пистолетный патрон .45 ACP Hydr-Shock. Используется в некоторых пистолетах и ПП.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",".45 ACP Hydr-Shock Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_45acplasermatchfmj0",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds","Патроны .45 ACP Lasermatch FMJ",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",".45 ACP Lasermatch FMJ Rounds",
"str_cfgmagazines_ammo_new_45acplasermatchfmj1",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.","Пистолетный патрон .45 ACP Lasermatch FMJ. Используется в некоторых пистолетах и ПП.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",".45 ACP Lasermatch FMJ Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_45acprip0",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds","Патроны .45 ACP RIP",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",".45 ACP RIP Rounds",
"str_cfgmagazines_ammo_new_45acprip1",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.","Пистолетный патрон .45 ACP RIP. Используется в некоторых пистолетах и ПП.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",".45 ACP RIP Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_45acpimbalanced0",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds","Патроны .45 ACP Imbalanced",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",".45 ACP Imbalanced Rounds",
"str_cfgmagazines_ammo_new_45acpimbalanced1",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.","Пистолетный патрон .45 ACP Imbalanced. Используется в некоторых пистолетах и ПП.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",".45 ACP Imbalanced Rounds. Used in select pistols and SMGs.",
"str_cfgmagazines_ammo_new_545x397h390","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","Патроны 5,45x39 мм 7Н39 "Игольник"","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds","5.45x39mm 7N39 'Needle' Rounds",
"str_cfgmagazines_ammo_new_545x397h391","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","Промежуточный патрон 5,45x39 мм 7Н39 "Игольник". Используется в некоторых винтовках.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.","5.45x39mm 7N39 'Needle' Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_545x39fmj0","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","Патроны 5,45x39 мм FMJ","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds","5.45x39mm FMJ Rounds",
"str_cfgmagazines_ammo_new_545x39fmj1","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","Промежуточный патрон 5,45x39 мм FMJ. Используется в некоторых винтовках.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.","5.45x39mm FMJ Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_545x39hp0","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","Патроны 5,45x39 мм HP","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds","5.45x39mm HP Rounds",
"str_cfgmagazines_ammo_new_545x39hp1","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","Промежуточный патрон 5,45x39 мм HP. Используется в некоторых винтовках.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.","5.45x39mm HP Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_545x39sp0","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","Патроны 5,45x39 мм SP","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds","5.45x39mm SP Rounds",
"str_cfgmagazines_ammo_new_545x39sp1","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","Промежуточный патрон 5,45x39 мм SP. Используется в некоторых винтовках.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.","5.45x39mm SP Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_545x39bp0","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","Патроны 5,45x39 мм БП","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds","5.45x39mm BP Rounds",
